Organ_Name,Num_of_triangles
VH_F_duodenal_impression_of_liver,15
VH_F_esophageal_impression_of_liver,99
VH_F_porta_hepatis,237
VH_F_colic_impression_of_liver,144
VH_F_capsule_of_the_liver,8940
VH_F_bare_area_of_liver,1701
VH_F_diaphragmatic_surface_of_liver,3642
VH_F_left_anterolateral_segment,1428
VH_F_left_superomedial_segment,1884
VH_F_left_superomedial_segment1,816
VH_F_left_inferomedial_segment,411
VH_F_quadrate_lobe,573
VH_F_right_anterosuperior_segment,729
VH_F_right_posteroinferior_segment,681
VH_F_right_posterosuperior_segment,885
VH_F_right_anteroinferior_segment,684
VH_F_caudate_lobe,1551
VH_F_coronary_ligament_of_liver,717
VH_F_falciform_ligament,144
VH_F_triangular_ligament_of_liver,75
VH_F_ligamentum_venosum,198
VH_F_round_ligament_of_liver,156
VH_F_hepataduodenal_ligament,312
VH_F_Ovary_L_0.1,126
VH_F_Ovary_R_0.1,120
VH_F_tail_of_pancreas,786
VH_F_body_of_pancreas,1008
VH_F_uncinate_process,249
VH_F_head_of_pancreas,978
VH_F_neck_of_pancreas,303
VH_F_sacrum,5886
VH_F_coccyx,414
VH_F_pubis_spongy_bone_L,669
VH_F_pubis_spongy_bone_R,630
VH_F_pubis_compact_bone_R,1518
VH_F_pubis_compact_bone_L,1608
VH_F_ilium_compact_bone_R,3540
VH_F_ilium_compact_bone_L,3804
VH_F_ilium_spongy_bone_L,1785
VH_F_ilium_spongy_bone_R,1662
VH_F_ischium_compact_bone_R,1614
VH_F_ischium_compact_bone_L,1614
VH_F_ischium_spongy_bone_R,660
VH_F_ischium_spongy_bone_L,666
VH_F_basal_plate,5127
VH_F_chorionic_plate,5091
VH_F_placenta_vessels,22668
VH_F_amnion,4392
VH_F_umbilical_cord,9126
VH_F_umbilical_artery_1,3174
VH_F_umbilical_artery_2,3720
VH_F_umbilical_vein,3042
VH_F_duodenum_superior,333
VH_F_duodenal_ampulla,312
VH_F_duodenum_descending,255
VH_F_sphincter_of_heptopancreatic_ampulla,1173
VH_F_duodenum_ascending,135
VH_F_duodenum_horizontal,294
VH_F_jejenum,3387
VH_F_ileum,6303
VH_F_ileum_terminal,681
VH_F_C1_segment_of_cervical_spinal_cord,2943
VH_F_C2_segment_of_cervical_spinal_cord,2889
